Lake_id,Lat,Lon,HDI,Index
69,24.71970722,91.15709558,0.581203551,1
205,19.72987163,85.3715512,0.630764308,2
273,33.706875,78.794125,0.653395554,3
311,24.43497065,75.49625021,0.560795964,4
327,21.63640313,83.79845371,0.619274671,5
364,15.99887032,78.29375104,0.649290144,6
387,21.35004391,73.80872227,0.601771968,7
412,24.01680642,69.0097168,0.640560808,8
457,24.10078749,82.82236388,0.68079623,9
533,21.3357515,84.972047,0.495431609,10
545,24.23675,69.4575,0.46730909,11
555,15.20235059,76.1970625,0.672763689,12
565,19.52951869,75.24266202,0.695241522,13
630,18.9709365,78.265944,0.611137405,14
709,35.20027248,79.87190261,,15
718,16.50380411,79.19813234,0.598784929,16
721,33.22143303,73.71434662,0.625620219,17
771,18.20827987,75.00904766,0.675612784,18
793,24.17140132,68.69264382,,19
813,31.99563138,76.05404846,0.686136381,20
914,14.03945931,74.93106258,0.596039455,21
915,24.66380933,78.26160937,0.565079801,22
1071,14.380366,79.1837075,0.591294959,23
1105,22.444722,78.0562945,0.534079675,24
1165,22.6507505,82.73142525,0.573145636,25
1397,11.89585563,77.79509615,0.645876606,26
1441,24.9676067,88.40096186,0.620849222,27
1442,17.82691883,77.86278177,0.621594175,28
1492,23.56443273,74.56307598,0.629526513,29
1659,16.154314,76.2665825,0.601628342,30
1664,18.14315479,77.95345336,0.595082226,31
1673,22.44121255,88.80470978,0.579292794,32
1692,13.64864038,75.57663798,0.629828468,33
1716,12.46379922,76.48521251,0.63205156,34
1759,25.0603643,78.33396645,0.571008139,35
1802,18.6532025,82.7976295,0.601497089,36
1815,15.248138,74.4616235,0.601663274,37
1825,34.35387249,74.56575811,0.686334104,38
1835,19.2439416,82.83057205,0.543987256,39
1882,31.4136714,76.48750077,0.692063749,40
1906,17.60089565,73.75014547,0.58027667,41
1985,19.76568711,76.6881131,0.59893494,42
2014,23.0004195,86.748825,0.542732343,43
2022,20.575642,81.5064815,0.58086417,44
2054,22.56637383,88.7370528,0.599201668,45
2067,14.33706768,79.57282653,0.591731151,46
2129,24.02673842,72.91353915,0.57025061,47
2136,19.77370797,77.37935137,0.627590321,48
2216,26.95531253,75.04579232,0.553087513,49
2239,25.06351893,88.24578355,0.565313998,50
2247,23.35409592,73.89889618,0.530548499,51
2334,23.84539624,86.78452465,0.632112742,52
2410,18.395375,82.559375,0.552559797,53
2429,18.3836012,79.10519634,0.643876743,54
2517,12.800319,76.00575625,0.592093904,55
2571,29.57956594,78.76631633,0.620129248,56
2588,21.71948584,79.23103189,0.569841408,57
2621,21.425,71.7056875,0.599484209,58
2639,16.563272,80.400745,0.659149016,59
2660,25.31037699,85.95853363,0.590588103,60
2694,16.12459202,74.58169143,0.622842574,61
2718,19.13339834,76.13022103,0.647240785,62
2729,23.03047376,86.01313359,0.582552542,63
2734,22.7931192,72.02269787,0.575459423,64
2751,23.6247035,86.70200025,0.629618119,65
2767,23.07696714,78.02551855,0.615677516,66
2880,11.44108356,77.06800821,0.600672562,67
2900,24.16808809,87.28268196,0.575575695,68
3130,23.0235749,73.76712721,0.554755749,69
3201,33.51625,78.90875,0.458033453,70
3241,11.95532631,76.2881154,0.637694009,71
3397,23.48784591,77.50001609,0.598928756,72
3421,32.8457305,73.652331,0.590641006,73
3495,23.52221877,69.60803222,0.445587085,74
3497,20.49411737,74.66692247,0.637867915,75
3516,17.82356166,77.33400365,0.635660879,76
3567,19.3324145,74.514444,0.653090482,77
3598,20.84273443,80.20621531,0.559236262,78
3659,28.77922937,80.08140225,0.593570722,79
3846,24.26285224,73.98830006,0.636069458,80
3926,17.32231798,82.06343477,0.600878235,81
3954,22.35378752,79.60074196,0.581165745,82
4087,24.66548899,92.43824645,0.609181003,83
4091,24.33621691,85.44206783,0.638640675,84
4166,20.18383107,73.11373911,0.55781205,85
4182,13.85042794,76.4418658,0.593302032,86
4469,18.53300034,73.45979619,0.608374836,87
4660,20.30131518,81.79903827,0.575911977,88
4707,18.57928439,76.11475087,0.648106837,89
4733,9.77775,77.0271875,0.68839957,90
4786,34.8854673,79.35078173,,91
4857,23.72785543,85.79178952,0.656478356,92
4954,32.728231,74.51969925,0.640752908,93
4973,22.3013891,84.61807036,0.565513564,94
5207,18.1991045,73.81375825,0.640959685,95
5208,14.58923529,79.85683084,0.629650473,96
5251,13.65558603,75.0873539,0.594883972,97
5387,22.30982028,82.22415308,0.591602301,98
5500,19.82721705,73.51771857,0.570900713,99
5625,20.17639588,79.29489781,0.629263742,100
5743,20.13009646,77.75426447,0.694931312,101
5817,24.33026116,72.39732123,0.584001186,102
5926,26.14300504,92.56051747,0.5746171,103
6029,19.6220355,76.9083645,0.5729832,104
6130,20.85275093,79.05083784,0.644786211,105
6222,25.55270462,79.68876331,0.531106183,106
6258,21.33042426,86.2824282,0.549759145,107
6277,23.45150646,85.50796007,0.560256383,108
6387,18.7259365,74.45402273,0.659275042,109
6508,13.18330525,79.85614256,0.666000739,110
6525,20.67210057,81.17126281,0.594021688,111
6707,12.11322482,79.86905522,0.699254851,112
6742,10.24502263,76.74522001,0.691773894,113
6743,24.85093165,82.53006234,0.520583795,114
6811,25.60974324,85.56028031,0.572142584,115
6834,18.05102844,76.39691355,0.629269308,116
6888,21.0384648,80.46157482,0.59426494,117
6918,14.8688245,74.4129405,0.658518804,118
7004,16.6442555,79.9636245,0.607837711,119
7144,23.47419367,91.85756008,0.598557515,120
7287,19.7275,73.705125,0.643119343,121
7377,23.24906634,77.34409496,0.713047513,122
7388,23.58375555,69.3201747,0.480246815,123
7563,21.78053574,73.53308864,0.536907107,124
7707,17.70321385,80.64021568,0.622039547,125
7740,28.95978681,79.8414201,0.687512373,126
7799,24.73666015,92.7501577,0.620234177,127
7817,17.9770405,73.796713,0.692253997,128
7821,15.67844502,77.59769966,0.608179732,129
7830,23.32862141,73.45622194,0.58181608,130
7983,18.90103335,73.51904013,0.631567221,131
7984,23.94391858,85.7434846,0.605354129,132
7985,21.18216862,82.2244124,0.585930536,133
8047,17.25827194,79.50036304,0.6237768,134
8069,14.1302684,75.90932748,0.634517527,135
8166,25.24521241,85.89706644,0.558305246,136
8322,18.68625,73.454625,0.648827855,137
8395,24.68961384,79.8345879,0.589031452,138
8434,20.51927385,81.68356188,0.560496649,139
8462,25.1255,88.485625,0.583623376,140
8502,22.4525742,73.88302977,0.586574126,141
8519,25.02667641,82.94674543,0.595650516,142
8579,11.3332273,79.53219322,0.693772739,143
8703,25.73102606,73.367107,0.735117515,144
8729,17.9645462,81.86348839,0.582436919,145
8837,24.34385991,78.69611718,0.534840019,146
8852,21.50444835,79.18154826,0.548162029,147
8957,25.03625,73.176875,0.642367666,148
9047,10.04924319,77.56304485,0.671493289,149
9153,19.81050975,73.62614073,0.649317792,150
9168,22.57956679,80.09865695,0.537643463,151
9170,24.947,78.4721875,0.558000344,152
9175,18.84669678,77.27292218,0.631865157,153
9215,15.58356572,79.06419473,0.570023965,154
9265,20.30329373,85.54506644,0.594057141,155
9320,19.1288521,78.74676959,0.626365563,156
9347,17.11029076,81.21985112,0.633722042,157
9433,24.11268973,88.19029454,0.635183586,158
9454,20.03058515,73.658784,0.635795716,159
9461,13.16222951,80.17117902,0.735475709,160
9464,17.37607783,78.29429556,0.648400948,161
9541,25.4170542,85.83726591,0.5835682,162
9559,31.30591097,76.68077669,0.692837223,163
9626,24.83525992,82.44054413,0.482041458,164
9634,19.95851613,85.68940155,0.612488163,165
9662,18.23175354,79.94189862,0.629859919,166
9691,15.124625,74.79075,0.616890432,167
9695,17.75759746,73.87183394,0.654134756,168
9712,10.38449785,76.80579974,0.616088373,169
9847,8.919755412,77.1249358,0.677761281,170
9891,24.427173,72.3148535,0.526865962,171
9908,22.41031466,81.60254058,0.551403254,172
10031,18.378625,73.529375,0.619933585,173
10056,12.18466113,78.81747102,0.615445081,174
10079,24.49944078,78.58704932,0.538020032,175
10104,29.13473784,79.29215796,0.677319209,176
10127,21.40240377,79.37159877,0.650761579,177
10285,25.12492292,79.67441543,0.545826875,178
10323,26.0034671,73.39579279,0.573117613,179
10408,19.1874755,73.3809505,0.673230932,180
10425,26.586125,77.430375,0.667961721,181
10468,20.73147332,81.10866714,0.602516292,182
10564,22.942625,77.3114375,0.543908262,183
10622,16.39327382,73.91221205,0.592016557,184
10654,12.22673436,79.95240857,0.661715106,185
10782,25.42401738,85.49957339,0.600895524,186
10888,23.82401892,87.93932024,0.619867344,187
10903,25.87455214,75.99771546,0.646152268,188
10932,24.69142939,81.11645029,0.561088088,189
10939,24.68154071,74.73241579,0.666642704,190
11008,26.20998357,77.98407647,0.507716005,191
11018,25.19940883,79.08349547,0.578360445,192
11041,24.76384183,82.30890649,0.471481105,193
11119,26.22132366,76.09186381,0.595447941,194
11394,20.71805547,79.14796316,0.587686712,195
11412,19.5702094,73.26598525,0.657680956,196
11433,26.9085,83.112875,0.600531991,197
11435,20.289625,73.7593125,0.650937378,198
11437,19.92225,85.6588125,0.616089453,199
11478,17.94848873,80.01174191,0.604763732,200
11521,17.67113609,73.8809697,0.594593049,201
11606,25.50593086,92.69781265,0.602595101,202
11692,25.1615406,78.50617258,0.537980756,203
11812,22.0054799,69.48216383,0.6078603,204
